Brand,Price,Released Date,OS,Display,Camera,RAM,Battery
Motorola,Coming soon,Not announced yet,Android 13,"6.5"" 1080x2400 pixels",50MP 1080p,12GB RAM Snapdragon 695 5G,5000mAh Li-Po
Vivo,"৳15,000.00","2024, May 03","Android 14, Funtouch 14","6.56"" 720x1612 pixels",50MP 1080p,4GB RAM Helio G85,5000mAh 15W
Vivo,"৳30,000.00","2024, May 03","Android 14, Funtouch 14","6.67"" 1080x2400 pixels",50MP 1080p,8GB RAM Snapdragon 685,5000mAh 80W
Vivo,Coming soon,"Exp. release 2024, May","Android 14, Funtouch 14","6.68"" 720x1612 pixels",50MP 1080p,8GB RAM Snapdragon 4 Gen 2,6000mAh 44W
Vivo,"৳40,000.00","Exp. release 2024, May 09","Android 14, Funtouch 14","6.78"" 1080x2400 pixels",50MP 2160p,8GB RAM Snapdragon 6 Gen 1,5500mAh 44W
Vivo,"৳30,000.00","2024, May 01","Android 14, Funtouch 14","6.67"" 1080x2400 pixels",50MP 1080p,8GB RAM Snapdragon 4 Gen 2,5000mAh 44W
Xiaomi,Coming soon,Not announced yet,Android 14,"6.28"" 1080x2400 pixels",50MP 4320p,8/12GB RAM Snapdragon 8 Gen1,4500mAh Li-Po
HTC,Coming soon,Not announced yet,Android 13,"6.7"" 1080x2400 pixels",108MP 2160p,8/12GB RAM Snapdragon 7 Gen 1,4600mAh Li-Po
HMD,Coming soon,Not announced yet,Android 14,"6.49"" 1080x2400 pixels",64MP 2160p,6GB RAM Snapdragon 695 5G,4800mAh Li-Po
Vivo,Coming soon,Not announced yet,Android 13,"6.51"" 720x1600 pixels",13MP 1080p,4-8GB RAM Dimensity 700,5000mAh Li-Po
Energizer,"৳10,000.00","Exp. release 2024, July",Android 13,"6.51"" 720x1600 pixels",18MP 1080p,2GB RAM MT6739WW,4000mAh
Vivo,Coming soon,"Exp. release 2024, May","Android 14, Funtouch 14","6.56"" 720x1612 pixels",13MP 1080p,4GB RAM Helio G85,5000mAh 15W
Realme,"৳15,000.00","2024, April 26","Android 14, Realme UI 5.0","6.67"" 720x1604 pixels",50MP 1080p,4/6GB RAM Dimensity 6300,5000mAh 15W
Infinix,"৳32,000.00","2024, April 26","Android 14, XOS 14","6.78"" 1080x2400 pixels",108MP 2160p,8/12GB RAM Dimensity 8200,5000mAh 45W
Oppo,Coming soon,"2024, April 26","Android 14, ColorOS 14","6.67"" 720x1604 pixels",50MP 1080p,8GB RAM Snapdragon 680 4G,5000mAh 45W
Xiaomi,Coming soon,Not announced yet,Android 13,"6.74"" 720x1650 pixels",50MP 1080p,4-8GB RAM Dimensity 6100+,5000mAh Li-Po
Xiaomi,Coming soon,Not announced yet,Android 14,"6.53"" 1080x2340 pixels",64MP 1080p,6GB RAM Snapdragon 662,4500mAh Li-Po
Polestar,Coming soon,"2024, April 24",Polestar OS,"6.79"" 1368x3192 pixels",50MP 1080p,16GB RAM Snapdragon 8 Gen 3,5050mAh 80W 50W
HMD,Coming soon,"Exp. release 2024, April",Android 14,"6.56"" 720x1480 pixels",13MP 1080p,4GB RAM Snapdragon 680 4G,4000mAh 10W
HMD,"৳20,000.00","Exp. release 2024, April",Android 14,"6.65"" 720x1612 pixels",50MP 1080p,4-8GB RAM Unisoc T606,5000mAh 10W
Vivo,"৳25,000.00","2024, April 29","Android 14, OriginOS 4","6.78"" 1260x2800 pixels",50MP 2160p,8/12GB RAM Snapdragon 7 Gen 3,6000mAh 80W
Vivo,"৳35,000.00","2024, April 29","Android 14, OriginOS 4","6.78"" 1260x2800 pixels",50MP 2160p,12/16GB RAM Snapdragon 8s Gen 3,6000mAh 80W
Vivo,"৳20,000.00","2024, April 29","Android 14, OriginOS 4","6.72"" 1080x2408 pixels",50MP 2160p,8/12GB RAM Snapdragon 6 Gen 1,6000mAh 44W
Realme,"৳18,000.00","2024, April 24","Android 14, Realme UI 5.0","6.72"" 1080x2400 pixels",50MP 1080p,"6.72"" 1080x2400 pixels",5000mAh 45W
Infinix,Coming soon,Not announced yet,Android 13,"6.78"" 1080x2400 pixels",108MP 1440p,4/8GB RAM Dimensity 7020,5000mAh Li-Po
Realme,"৳20,000.00","2024, April 25","Android 14, Realme UI 5.0","6.67"" 1080x2400 pixels",50MP 1080p,6/8GB RAM Dimensity 7050,5000mAh 45W
Oppo,"৳32,000.00","2024, April 29","Android 14, ColorOS 14","6.7"" 1080x2412 pixels",50MP 2160p,8/12GB RAM Snapdragon 7 Gen 3,5500mAh 100W
HMD,"৳25,000.00","2024, April",Android 14,"6.56"" 720x1480 pixels",50MP 1080p,4-8GB RAM Unisoc T606,5000mAh 20W
Nothing,Coming soon,Not announced yet,Android 14,"6.55"" 1440x3216 pixels",50MP 2160p,8/12GB RAM Snapdragon 778G+ 5G,4500mAh Li-Po
Vivo,Coming soon,Not announced yet,Android 14,"6.78"" 1440x3200 pixels",64MP 4320p,16GB RAM Snapdragon 8 Gen 3,5100mAh Li-Po
Vivo,Coming soon,Not announced yet,Android 14,"6.78"" 1260x2800 pixels",64MP 4320p,12/16GB RAM Snapdragon 8 Gen 3,5000mAh Li-Po
Motorola,Coming soon,Not announced yet,Android 13,"6.5"" 720x1600 pixels",13MP 1080p,2/4GB RAM Unisoc T606,5000mAh Li-Po
Huawei,"৳160,000.00","2024, April 29",HarmonyOS 4.2,"6.8"" 1260x2844 pixels",50MP 2160p,16GB RAM Kirin 9010,5200mAh 100W80W
Huawei,"৳120,000.00","Exp. release 2024, April 29",HarmonyOS 4.2,"6.8"" 1260x2844 pixels",50MP 2160p,16GB RAM Kirin 9010,5050mAh 100W 80W
Huawei,"৳100,000.00","2024, April 29",HarmonyOS 4.2,"6.8"" 1260x2844 pixels",50MP 2160p,12GB RAM Kirin 9010,5050mAh 100W 80W
Huawei,"৳85,000.00","Exp. release 2024, May 06","EMUI 14.2, HarmonyOS 4.2","6.6"" 1256x2760 pixels",50MP 2160p,12GB RAM Kirin 9010,4900mAh 66W 50W
HMD,"৳18,000.00","2024, April 24",Android 14,"6.65"" 720x1612 pixels",13MP 1080p,4/6GB RAM Unisoc T606,5000mAh Li-Po
Vivo,"৳18,000.00","2024, April 24","Android 14, Funtouch 14","6.72"" 1080x2408 pixels",50MP 2160p,4-8GB RAM Snapdragon 6 Gen 1,6000mAh 44W
Vivo,"৳25,000.00","2024, April 27","Android 14, OriginOS 4","6.72"" 1080x2408 pixels",50MP 1080p,8/12GB RAM Snapdragon 4 Gen 2,6000mAh 44W
Motorola,"৳120,000.00","Exp. release 2024, April",Android 14,"6.7"" 1220x2712 pixels",50MP 4320p,12/16GB RAM Snapdragon 8s Gen 3,5000mAh 125W 50W
Motorola,Coming soon,Not announced yet,Android 13,"6.5"" 1080x2400 pixels",50MP 1080p,12GB RAM Snapdragon 695 5G,5000mAh Li-Po
Vivo,"৳15,000.00","2024, May 03","Android 14, Funtouch 14","6.56"" 720x1612 pixels",50MP 1080p,4GB RAM Helio G85,5000mAh 15W
Vivo,"৳30,000.00","2024, May 03","Android 14, Funtouch 14","6.67"" 1080x2400 pixels",50MP 1080p,8GB RAM Snapdragon 685,5000mAh 80W
Vivo,Coming soon,"Exp. release 2024, May","Android 14, Funtouch 14","6.68"" 720x1612 pixels",50MP 1080p,8GB RAM Snapdragon 4 Gen 2,6000mAh 44W
Vivo,"৳40,000.00","Exp. release 2024, May 09","Android 14, Funtouch 14","6.78"" 1080x2400 pixels",50MP 2160p,8GB RAM Snapdragon 6 Gen 1,5500mAh 44W
Vivo,"৳30,000.00","2024, May 01","Android 14, Funtouch 14","6.67"" 1080x2400 pixels",50MP 1080p,8GB RAM Snapdragon 4 Gen 2,5000mAh 44W
Xiaomi,Coming soon,Not announced yet,Android 14,"6.28"" 1080x2400 pixels",50MP 4320p,8/12GB RAM Snapdragon 8 Gen1,4500mAh Li-Po
HTC,Coming soon,Not announced yet,Android 13,"6.7"" 1080x2400 pixels",108MP 2160p,8/12GB RAM Snapdragon 7 Gen 1,4600mAh Li-Po
HMD,Coming soon,Not announced yet,Android 14,"6.49"" 1080x2400 pixels",64MP 2160p,6GB RAM Snapdragon 695 5G,4800mAh Li-Po
Vivo,Coming soon,Not announced yet,Android 13,"6.51"" 720x1600 pixels",13MP 1080p,4-8GB RAM Dimensity 700,5000mAh Li-Po
Energizer,"৳10,000.00","Exp. release 2024, July",Android 13,"6.51"" 720x1600 pixels",18MP 1080p,2GB RAM MT6739WW,4000mAh
Vivo,Coming soon,"Exp. release 2024, May","Android 14, Funtouch 14","6.56"" 720x1612 pixels",13MP 1080p,4GB RAM Helio G85,5000mAh 15W
Realme,"৳15,000.00","2024, April 26","Android 14, Realme UI 5.0","6.67"" 720x1604 pixels",50MP 1080p,4/6GB RAM Dimensity 6300,5000mAh 15W
Infinix,"৳32,000.00","2024, April 26","Android 14, XOS 14","6.78"" 1080x2400 pixels",108MP 2160p,8/12GB RAM Dimensity 8200,5000mAh 45W
Oppo,Coming soon,"2024, April 26","Android 14, ColorOS 14","6.67"" 720x1604 pixels",50MP 1080p,8GB RAM Snapdragon 680 4G,5000mAh 45W
Xiaomi,Coming soon,Not announced yet,Android 13,"6.74"" 720x1650 pixels",50MP 1080p,4-8GB RAM Dimensity 6100+,5000mAh Li-Po
Xiaomi,Coming soon,Not announced yet,Android 14,"6.53"" 1080x2340 pixels",64MP 1080p,6GB RAM Snapdragon 662,4500mAh Li-Po
Polestar,Coming soon,"2024, April 24",Polestar OS,"6.79"" 1368x3192 pixels",50MP 1080p,16GB RAM Snapdragon 8 Gen 3,5050mAh 80W 50W
HMD,Coming soon,"Exp. release 2024, April",Android 14,"6.56"" 720x1480 pixels",13MP 1080p,4GB RAM Snapdragon 680 4G,4000mAh 10W
HMD,"৳20,000.00","Exp. release 2024, April",Android 14,"6.65"" 720x1612 pixels",50MP 1080p,4-8GB RAM Unisoc T606,5000mAh 10W
Samsung,Coming soon,Not announced yet,Android 14,"6.4"" 1080x2340 pixels",50MP 4320p,8GB RAM Exynos 2200,4500mAh Li-Ion
Honor,Coming soon,"Exp. release 2024, April","Android 13, MagicOS 7.2","6.8"" 1080x2412 pixels",100MP 1080p,8GB RAM Dimensity 6020,6000mAh 35W
Vivo,"৳35,000.00","2024, April 04","Android 14, Funtouch 14","6.67"" 1080x2400 pixels",50MP 1080p,8GB RAM Snapdragon 685,5000mAh 80W
Tecno,Coming soon,"Exp. release 2024, April","Android 14, HIOS 14","6.78"" 1080x2460 pixels",50MP 1440p,8GB RAM Helio G99 Ultimate,7000mAh 33W
Tecno,Coming soon,"Exp. release 2024, April","Android 14, HIOS 14","6.78"" 1080x2460 pixels",108MP 1080p,8/12GB RAM Helio G99 Ultimate,6000mAh 70W
Vivo,Coming soon,Not announced yet,Android 14,"6.78"" 1260x2800 pixels",50MP 4320p,12/16GB RAM Snapdragon 8 Gen 2,5160mAh
Motorola,"৳46,000.00","2024, April 8",Android 14,"6.7"" 1080x2400 pixels",50MP 4320p,8/12GB RAM Snapdragon 7 Gen 3,4500mAh 125W 50W
Realme,"৳20,000.00","2024, April 02","Android 14, Realme UI 5.0","6.72"" 1080x2400 pixels",50MP 1080p,4/8GB RAM Dimensity 6100+,5000mAh 45W
Realme,"৳18,000.00","2024, April","Android 14, Realme UI 5.0","6.67"" 720x1604 pixels",50MP 1080p,6/8GB RAM Helio G85,5000mAh 45W
Xiaomi,Coming soon,Not announced yet,Android 14,"6.67"" 1220x2712 pixels",64MP 2160p,8/12GB RAM Dimensity 8300 Ultra,5000mAh
Xiaomi,Coming soon,Not announced yet,Android 14,"6.67"" 1220x2712 pixels",64MP 2160p,8/12GB RAM Snapdragon 7s Gen 2,5100mAh
Infinix,Coming soon,Not announced yet,Android 14,"6.78"" 1080x2436 pixels",108MP 1440p,8GB RAM Dimensity 7020,5000mAh 45W20W
Infinix,Coming soon,Not announced yet,Android 14,"6.78"" 1080x2436 pixels",108MP 1440p,8GB RAM Helio G99 Ultimate,5000mAh 45W20W
Realme,Coming soon,Not announced yet,Android 14,"6.74"" 1080x2400 pixels",50MP 1080p,4/6GB RAM Unisoc Tiger T612,5000mAh Li-Po
OnePlus,"৳37,500.00","2024, April 04","Android 14, ColorOS 14","6.7"" 1080x2412 pixels",50MP 2160p,8GB RAM Snapdragon 7 Gen 3,5500mAh 100W
Xiaomi,Coming soon,Not announced yet,Android 14,"6.52"" 720x1600 pixels",8MP 1080p,2-4GB RAM Helio G36,5000mAh Li-Po
Vivo,Coming soon,Not announced yet,Android 13,"6.4"" 1080x2400 pixels",64MP 2160p,6GB RAM Snapdragon 720G,5000mAh Li-Po
Realme,Coming soon,Not announced yet,Android 14,"6.78"" 1264x2780 pixels",50MP 2160p,12/16GB RAM Snapdragon 8 Gen 3,5400mAh Li-Po
Realme,Coming soon,Not announced yet,Android 14,"6.74"" 1240x2772 pixels",50MP 2160p,12/16GB RAM Snapdragon 8 Gen 2,5240mAh Li-Po
Honor,Coming soon,Not announced yet,Android 13,"6.56"" 720x1612 pixels",13MP 1080p,6/8GB RAM Snapdragon 480+ 5G,4500mAh Li-Po
Motorola,"৳120,000.00","Exp. release 2024, April",Android 14,"6.7"" 1220x2712 pixels",50MP 4320p,12/16GB RAM Snapdragon 8s Gen 3,5000mAh 125W 50W
Motorola,"৳45,000.00","Exp. release 2024, April",Android 14,"6.7"" 1080x2400 pixels",50MP 2160p,8/12GB RAM Snapdragon 7s Gen 2,5000mAh 68W
Huawei,Coming soon,Not announced yet,HarmonyOS 3.1,"6.67"" 1220x2700 pixels",48MP 2160p,12GB RAM Snapdragon 8+ Gen 1 4G,5100mAh
Realme,"৳30,000.00","2024, April 22","Android 14, Realme UI 5.0","6.7"" 1080x2412 pixels",50MP 2160p,8GB RAM Snapdragon 6 Gen 1,5000mAh 45W
Realme,"৳26,000.00","2024, April 15","Android 14, Realme UI 5.0","6.67"" 1080x2400 pixels",50MP 1080p,6/8GB RAM Dimensity 7050,5000mAh 45W
Tecno,Coming soon,Not announced yet,Android 13,"6.9"" 1080x2640 pixels",64MP 2160p,8GB RAM Dimensity 8050,4000mAh Li-Po
Vivo,Coming soon,Not announced yet,Android 13,"6.78"" 1440x3200 pixels",64MP 4320p,12GB RAM Snapdragon 8 Gen 2,5000mAh Li-Po
Oppo,"৳35,000.00","2024, April 19","Android 14, ColorOS 14","6.7"" 1080x2412 pixels",64MP 2160p,8/12GB RAM Dimensity 7050,5000mAh 67W
ZTE,Coming soon,"Exp. release 2024, Q2-Q4",Android 14,"6.78"" 1260x2800 pixels",50MP 4320p,12GB RAM Snapdragon 8 Gen 2,6000mAh 80W
Realme,"৳50,000.00","2024, April 17","Android 14, Realme UI 5.0","6.78"" 1264x2780 pixels",50MP 2160p,8-16GB RAM Snapdragon 7+ Gen 3,5500mAh 100W
Cubot,"৳25,000.00","2024, April",Android 14,"6.58"" 1080x2408 pixels",64MP 1080p,8GB RAM MT8788V,4350mAh 18W
Cubot,"৳40,000.00","2024, April",Android 13,"6.67"" 1080x2400 pixels",100MP 1080p,12GB RAM Helio G99,5100mAh 33W
Cubot,"৳30,000.00","2024, April",Android 14,"6.58"" 1080x2408 pixels",100MP 1080p,12GB RAM Helio G99,5100mAh 33W
Cubot,"৳15,000.00","2024, April",Android 13,"6.56"" 720x1612 pixels",13MP 1080p,4GB RAM Unisoc SC9863A,5100mAh 10W
Motorola,"৳20,000.00","2024, April 09",Android 14,"6.56"" 720x1612 pixels",50MP 1080p,4/8GB RAM Unisoc T606,5000mAh 15W
Xiaomi,"৳42,000.00","2024, April 10","Android 14, HyperOS","6.67"" 1220x2712 pixels",50MP 4320p,12/16GB RAM Snapdragon 8s Gen 3,5000mAh 90W
Motorola,"৳25,000.00","2024, April 23","Android 14, planned upgrade to Android 15","6.5"" 1080x2400 pixels",50MP 1080p,8/12GB RAM Dimensity 7025,6000mAh 30W
Honor,"৳30,000.00","2024, April 12","Android 13, Magic OS 7.2","6.8"" 1080x2412 pixels",108MP 1080p,4GB RAM Dimensity 6020,5330mAh 35W
Realme,Coming soon,Not announced yet,"Android 14, Realme UI 5.0","6.67"" 720x1604 pixels",5MP 1080p,6/8GB RAM Helio G85,5000mAh 45W
Oukitel,"৳22,000.00","Exp. release 2024, April",Android 13,"6.6"" 1080x2408 pixels",64MP 1440p,8GB RAM Dimensity 6100+,11000mAh Li-Po
Huawei,Coming soon,"2024, April 06","EMUI 14, no Google Play Services","6.67"" 1080x2400 pixels",108MP 1080p,8GB RAM Snapdragon 680 4G,4500mAh 66W
Huawei,"৳60,000.00","2024, April 13","EMUI 14, no Google Play Services","6.7"" 1084x2412 pixels",50MP 2160p,8GB RAM Snapdragon 778G 4G,4500mAh 66W
Huawei,"৳35,000.00","2024, April 16","EMUI 14, no Google Play Services","6.7"" 1080x2388 pixels",108MP 1080p,8GB RAM Snapdragon 680 4G,5000mAh 40W
Realme,"৳33,500.00","2024, March 19","Android 14, Realme UI 5.0","6.67"" 1080x2400 pixels",50MP 1080p,8GB RAM Dimensity 7050,5000mAh 67W
Honor,"৳160,000.00","2024, March 22","Android 14, MagicOS 8","6.8"" 1280x2800 pixels",180MP 2160p,24GB RAM Snapdragon 8 Gen 3,5600mAh 80W66W
Honor,"৳110,000.00","2024, March 22","Android 14, MagicOS 8","6.8"" 1280x2800 pixels",180MP 2160p,16GB RAM Snapdragon 8 Gen 3,5600mAh 80W66W
Infinix,"৳38,000.00","2024, March 19","Android 14, XOS 14","6.78"" 1080x2436 pixels",108MP 1440p,12GB RAM Dimensity 7020,4600mAh 100W20W
Infinix,"৳30,999.00","2024, March 19","Android 14, XOS 14","6.78"" 1080x2436 pixels",108MP 1440p,8/12GB RAM Helio G99 Ultimate,5000mAh 70W 20W
Infinix,"৳35,000.00","2024, March 19","Android 14, XOS 14","6.78"" 1080x2436 pixels",108MP 1440p,8GB RAM Dimensity 7020,5000mAh 45W20W
Infinix,"৳26,999.00","2024, March 19","Android 14, XOS 14","6.78"" 1080x2436 pixels",108MP 1440p,8GB RAM Helio G99 Ultimate,5000mAh 45W20W
Symphony,"৳11,699.00","2024, March 18",Android 13,"6.56"" 720x1600 pixels",108MP 1080p,6/8GB RAM UniSOC T616,5000mAh Li-Po
Motorola,Coming soon,Not announced yet,Android 14,"6.5"" 1080x2400 pixels",50MP 2160p,4GB RAM Snapdragon 480+ 5G,5000mAh Li-Po
