Brand,Released Date,OS,Display,Camera,RAM,Battery,Price
Apple,2012,"iOS 6, up to iOS 10.3.3","4.0"" 640x1136 pixels",8MP 1080p,1GB RAM Apple A6,1440mAh Li-Po,"৳32,500.00"
Apple,2013,"iOS 7, up to iOS 12.1.3","4.0"" 640x1136 pixels",8MP 1080p,1GB RAM Apple A7,1560mAh Li-Po,"৳24,990.00"
Apple,2013,"iOS 7, up to iOS 10.3.3","4.0"" 640x1136 pixels",8MP 1080p,1GB RAM Apple A6,1510mAh Li-Po,"৳28,990.00"
Apple,2014,"iOS 8, up to iOS 12.2","4.7"" 750x1334 pixels",8MP 1080p,1GB RAM Apple A8,1810mAh Li-Po,"৳34,999.00"
Apple,2014,"iOS 8, up to iOS 12.1.3","5.5"" 1080x1920 pixels",8MP 1080p,1GB RAM Apple A8,2915mAh Li-Po,"৳44,990.00"
Maximus,2014,Android 4.4 (KitKat),4.0 inches,5.0 MP with Flash Light,512 MB RAM,Li-ion 1400 mAh,"৳5,790.00"
OnePlus,2014,"Android 4.4.2, up to 6.0.1","5.5"" 1080x1920 pixels",13MP 2160p,3GB RAM Snapdragon 801,3100mAh Li-Po,"৳25,990.00"
Samsung,2015,"Android 5.1, up to 6.0.1","5.0"" 720x1280 pixels",13MP 1080p,1.5GB RAM Snapdragon 410,2600mAh Li-Ion,"৳13,990.00"
Samsung,2015,"Android 5.1, up to 6.0.1","5.5"" 720x1280 pixels",13MP 1080p,1.5GB RAM Snapdragon 615,3000mAh Li-Ion,"৳19,000.00"
Samsung,2015,"Android 5.1.1, up to 6.0","5.7"" 1080x1920 pixels",16MP 1080p,2GB RAM Snapdragon 615,3050mAh Li-Ion,"৳23,900.00"
ZTE,2015,"Android 5.1 (Lollipop), upgradable to 6.0.1 (Marshmallow)","5.5 inches, 83.4 cm2 (~71.3% screen-to-body ratio)","8 MP, AF",2 GB,3000 mAh Battery,"৳10,990.00"
Apple,2015,"iOS 9, up to iOS 12.1.3","4.7"" 750x1334 pixels",12MP 2160p,2GB RAM Apple A9,1715mAh Li-Ion,"৳34,999.00"
Apple,2015,"iOS 9, up to iOS 12.1.3","5.5"" 1080x1920 pixels",12MP 2160p,2GB RAM Apple A9,2750mAh Li-Ion,"৳44,999.00"
Samsung,2015,Android 5.1.1,"4.7"" 540x960 pixels",5MP 720p,1GB RAM Exynos 3475 Quad,2000mAh Li-Ion,"৳7,990.00"
ZTE,2015,Android 5.1,"5.0"" 1080x1920 pixels",13MP 1080p,3GB RAM Snapdragon 615,2500mAh Li-Ion,"৳19,990.00"
Symphony,2015,Android 8.1.0 (Oreo),4.5 inches,5 MP,512 MB,1800 mAh Battery,"৳3,590.00"
Samsung,2015,"Android 4.4.4, up to 5.1.1","4.3"" 480x800 pixels",5MP 720p,1GB RAM Spreadtrum SC9830,1850mAh Li-Ion,"৳7,990.00"
Oppo,2015,Android 5.1; ColorOS 2.1,"5.0"" 540x960 pixels",8MP 1080p,2GB RAM Snapdragon 410,2400mAh Li-Po,"৳11,600.00"
ZTE,2015,Android 5.1.1,"5.2"" 1080x1920 pixels",13MP Video recorder,3GB RAM Snapdragon 616,2800mAh Li-Ion,"৳22,990.00"
Symphony,2015,Android 5.1,"5.0"" HD",8 MP,1 GB RAM,3200 mAh Battery,"৳5,990.00"
Vivo,2015,Android 5.0.2; Funtouch 2.5,"5.0"" 540x960 pixels",8MP 1080p,2GB RAM Snapdragon 410,2350mAh Li-Ion,"৳11,700.00"
Samsung,2015,"Android 5.1.1, up to 7.0","4.7"" 720x1280 pixels",13MP 1080p,1.5GB RAM Exynos 7578,2300mAh Li-Ion,"৳21,500.00"
Oppo,2015,Android 5.1; ColorOS 2.1,"5.5"" 720x1280 pixels",13MP 1080p,2GB RAM Snapdragon 616,3075mAh Li-Ion,"৳22,500.00"
Samsung,2015,"Android 5.1.1, up to 7.0","5.2"" 1080x1920 pixels",13MP 1080p,2GB RAM Exynos 7580 Octa,2900mAh Li-Ion,"৳26,900.00"
Samsung,2015,"Android 5.1.1, up to 7.0","5.5"" 1080x1920 pixels",13MP 1080p,3GB RAM Exynos 7580 Octa,3300mAh Li-Ion,"৳32,900.00"
Wiko,2015,Android 5.1,"5.0"" 720x1280 pixels",13MP 1080p,2GB RAM MT6592M,2500mAh Li-Po,"৳17,000.00"
