Brand,Released Year,OS,Display (inches),Display (pixels),Camera,Camera Resolution,RAM,Battery Capacity,Price
Doogee,2020,Android 10,"6.3""",1080x2340,2.1MP,1080,6GB,10000mAh,"৳18,000.00"
Ulefone,2021,Android 11,"6.52""",1080x2400,20MP,2160,4GB,10000mAh,"৳16,000.00"
Oukitel,2023,Android 13,"6.58""",1080x2408,48MP,2160,16GB,10000mAh,"৳35,000.00"
Oukitel,2023,Android 13,"6.58""",1080x2408,48MP,2160,8GB,10000mAh,"৳35,000.00"
ZTE,2023,Android 13,"12.1""",1600x2560,13MP,1080,16GB,10000mAh,"৳60,000.00"
Xiaomi,2024,Android 14,"12.4""",2032x3048,50MP,2160,8GB,10000mAh,"৳55,000.00"
Gionee,2020,Android,"6.0""",720x1440,16MP,1080,8GB,10000mAh,"৳18,000.00"
Ulefone,2022,Android 12,"6.52""",720x1600,20MP,1080,6GB,10000mAh,"৳25,000.00"
Ulefone,2019,Android 9.0,"5.7""",1080x2160,21MP,1080,6GB,10300mAh,"৳20,000.00"
Ulefone,2019,Android 9.0,"5.7""",1080x2160,21MP,1080,6GB,10300mAh,"৳24,000.00"
Blackview,2023,Android 13,"6.5""",1080x2408,64MP,2160,8GB,10380mAh,"৳30,000.00"
Cubot,2023,Android 13,"6.5""",1080x2400,48MP,1080,8GB,10600mAh,"৳20,000.00"
Cubot,2023,Android 13,"6.58""",1080x2408,100MP,1080,12GB,10600mAh,"৳35,000.00"
Cubot,2023,Android 13,"6.78""",1080x2460,100MP,1080,12GB,10600mAh,"৳35,000.00"
Oukitel,2023,Android 13,"6.52""",720x1600,13MP,1080,4GB,10600mAh,"৳20,000.00"
Oukitel,2023,Android 13,"6.52""",720x1600,13MP,1080,8GB,10600mAh,"৳25,000.00"
Oukitel,2023,Android 13,"6.52""",720x1600,48MP,1080,8GB,10600mAh,"৳25,000.00"
Cubot,2023,Android 13,"6.53""",720x1612,48MP,1080,12GB,10600mAh,"৳25,000.00"
Doogee,2023,Android 13,"6.58""",1080x2400,50MP,1440,12GB,10800mAh,"৳40,000.00"
Doogee,2023,Android 13,"6.58""",1080x2400,50MP,2160,12GB,10800mAh,"৳60,000.00"
Doogee,2023,Android 12,"6.58""",1080x2408,108MP,1440,12GB,10800mAh,"৳45,000.00"
Doogee,2023,Android 12,"6.58""",1080x2408,108MP,2160,12GB,10800mAh,"৳50,000.00"
Doogee,2023,Android 13,"6.58""",1080x2408,200MP,2160,12GB,10800mAh,"৳30,000.00"
Doogee,2023,Android 12,"6.58""",1080x2408,108MP,1440,8GB,10800mAh,"৳30,000.00"
Doogee,2022,Android 12,"6.58""",1080x2408,108MP,2160,8GB,10800mAh,"৳35,000.00"
Ulefone,2023,Android 12,"5.65""",1080x2160,50MP,1080,12GB,10850mAh,"৳40,000.00"
Oukitel,2024,Android 13,"6.6""",1080x2408,64MP,1440,8GB,11000mAh,"৳22,000.00"
Oukitel,2023,Android 13,"6.78""",1080x2460,108MP,2160,12GB,11000mAh,"৳55,000.00"
Doogee,2022,Android 12,"6.3""",1080x2340,48MP,1440,8GB,12000mAh,"৳30,000.00"
Doogee,2022,Android 12,"6.3""",1080x2340,64MP,1440,8GB,12000mAh,"৳35,000.00"
Blackview,2023,Android 12,"6.58""",1080x2408,12MP,1440,6GB,13000mAh,"৳20,000.00"
Gigabyte,2015,Android 4.4,"4.0""",480x800,2MP,720,0.5GB,1300mAh,"৳5,990.00"
Micromax,2017,Android 6.0,"4.0""",480x800,2MP,720,0.5GB,1300mAh,"৳3,490.00"
BLU,2018,Android 8.1,"4.0""",480x800,5MP,720,0.5GB,1300mAh,"৳4,500.00"
BLU,2019,Android 8.1,"4.0""",480x800,5MP,720,0.5GB,1300mAh,"৳4,500.00"
BLU,2018,Android 8.1,"5.0""",480x854,5MP,720,1GB,1300mAh,"৳5,850.00"
Ulefone,2021,Android 11,"6.81""",1080x2400,48MP,2160,8GB,13200mAh,"৳26,000.00"
BLU,2021,Android 10,"4.0""",480x800,5MP,720,3GB,1400mAh,"৳6,000.00"
Celkon,2015,Android 4.4.2,"4.0""",480x800,3MP,720,0.5GB,1400mAh,"৳3,790.00"
BLU,2016,Android 6.0,"4.0""",480x800,3MP,720,0.5GB,1400mAh,"৳5,750.00"
Walton,2019,Android 8.1,"4.0""",480x800,2MP,1080,0.5GB,1400mAh,"৳2,930.00"
